Datum;Feiertag;Heiligerabend_dummy;Silvester_dummy
2012-12-31;Silvester;0;1
2013-01-01;Neujahr;0;0
2013-03-29;Karfreitag;0;0
2013-03-30;Samstag vor Ostern;0;0
2013-03-31;Ostersonntag;0;0
2013-04-01;Ostermontag;0;0
2013-05-01;Tag der Arbeit;0;0
2013-05-09;Himmelfahrt ;0;0
2013-05-10;Br「ckentag;0;0
2013-05-19;Pfingstsonntag;0;0
2013-05-20;Pfingstmontag;0;0
2013-10-03;Tag der deutschen Einheit;0;0
2013-12-24;Heiliger  Abend;1;0
2013-12-25;Weihnachtstag1;0;0
2013-12-26;Weihnachtstag2;0;0
2013-12-31;Silvester;0;1
2014-01-01;Neujahr;0;0
2014-04-18;Karfreitag;0;0
2014-04-19;Samstag vor Ostern;0;0
2014-04-20;Ostersonntag;0;0
2014-04-21;Ostermontag;0;0
2014-05-01;Tag der Arbeit;0;0
2014-05-02;Br「ckentag;0;0
2014-05-29;Himmelfahrt ;0;0
2014-05-30;Br「ckentag;0;0
2014-06-08;Pfingstsonntag;0;0
2014-06-09;Pfingstmontag;0;0
2014-10-03;Tag der deutschen Einheit;0;0
2014-12-24;Heiliger  Abend;1;0
2014-12-25;Weihnachtstag1;0;0
2014-12-26;Weihnachtstag2;0;0
2014-12-31;Silvester;0;1
2015-01-01;Neujahr;0;0
2015-01-02;Br「ckentag;0;0
2015-04-03;Karfreitag;0;0
2015-04-04;Samstag vor Ostern;0;0
2015-04-05;Ostersonntag;0;0
2015-04-06;Ostermontag;0;0
2015-05-01;Tag der Arbeit;0;0
2015-05-14;Himmelfahrt ;0;0
2015-05-15;Br「ckentag;0;0
2015-05-24;Pfingstsonntag;0;0
2015-05-25;Pfingstmontag;0;0
2015-10-03;Tag der deutschen Einheit;0;0
2015-12-24;Heiliger  Abend;1;0
2015-12-25;Weihnachtstag1;0;0
2015-12-26;Weihnachtstag2;0;0
2015-12-31;Silvester;0;1
2016-01-01;Neujahr;0;0
2016-03-25;Karfreitag;0;0
2016-03-26;Samstag vor Ostern;0;0
2016-03-27;Ostersonntag;0;0
2016-03-28;Ostermontag;0;0
2016-05-01;Tag der Arbeit;0;0
2016-05-05;Himmelfahrt ;0;0
2016-05-06;Br「ckentag;0;0
2016-05-15;Pfingstsonntag;0;0
2016-05-16;Pfingstmontag;0;0
2016-10-03;Tag der deutschen Einheit;0;0
2016-12-24;Heiliger  Abend;1;0
2016-12-25;Weihnachtstag1;0;0
2016-12-26;Weihnachtstag2;0;0
2016-12-31;Silvester;0;1
2017-01-01;Neujahr;0;0
2017-04-14;Karfreitag;0;0
2017-04-15;Samstag vor Ostern;0;0
2017-04-16;Ostersonntag;0;0
2017-04-17;Ostermontag;0;0
2017-05-01;Tag der Arbeit;0;0
2017-05-25;Himmelfahrt ;0;0
2017-05-26;Br「ckentag;0;0
2017-06-04;Pfingstsonntag;0;0
2017-06-05;Pfingstmontag;0;0
2017-10-03;Tag der deutschen Einheit;0;0
2017-10-31;Reformationstag;0;0
2017-12-24;Heiliger  Abend;1;0
2017-12-25;Weihnachtstag1;0;0
2017-12-26;Weihnachtstag2;0;0
2017-12-31;Silvester;0;1
2018-01-01;Neujahr;0;0
2018-03-30;Karfreitag;0;0
2018-03-31;Samstag vor Ostern;0;0
2018-04-01;Ostersonntag;0;0
2018-04-02;Ostermontag;0;0
2018-05-01;Tag der Arbeit;0;0
2018-05-10;Himmelfahrt ;0;0
2018-05-11;Br「ckentag;0;0
2018-05-20;Pfingstsonntag;0;0
2018-05-21;Pfingstmontag;0;0
2018-10-03;Tag der deutschen Einheit;0;0
2018-10-31;Reformationstag;0;0
2018-12-24;Heiliger  Abend;1;0
2018-12-25;Weihnachtstag1;0;0
2018-12-26;Weihnachtstag2;0;0
2018-12-31;Silvester;0;1
